mesh,ell,kappa,level,case,seed,dof,eps_m,maxdisp_m,sup_DV,cert,min_area,t_assembly_frozen_s,t_assembly_extra_s,t_frozen_s,iters_frozen,conv_frozen,res_frozen,t_fresh_s,iters_fresh,conv_fresh,res_fresh,has_fresh
almond_lam12,d4,74.688859,5,U,5064,2673,0.0133,0.013297997,27.032139,0.359527,3.901140e-06,5.678,0.000,4.145,49,true,1.9073e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5065,2673,0.0133,0.013290356,18.101240,0.240746,3.750092e-06,5.659,0.000,4.297,51,true,2.1385e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5066,2673,0.0133,0.013237609,23.857496,0.317305,3.913633e-06,5.325,0.000,4.188,49,true,1.9890e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5067,2673,0.0133,0.013268271,25.719147,0.342065,4.654681e-06,5.727,0.000,4.242,52,true,1.9442e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5068,2673,0.0133,0.01326409,32.974724,0.438564,3.378894e-06,5.319,0.000,4.232,52,true,2.1043e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5069,2673,0.0133,0.013295443,17.228468,0.229139,3.902201e-06,5.718,0.000,4.864,50,true,2.6415e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5070,2673,0.0133,0.01327922,19.888270,0.264514,2.997546e-06,5.870,0.000,4.261,49,true,1.7217e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5071,2673,0.0133,0.013269815,25.395456,0.337760,3.281267e-06,5.599,0.000,4.353,51,true,2.6825e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5072,2673,0.0133,0.013288946,28.399315,0.377711,3.742430e-06,5.661,0.000,4.393,52,true,2.0678e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5073,2673,0.0133,0.01329293,25.931241,0.344886,3.047952e-06,5.736,0.000,4.302,50,true,2.6297e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5074,2673,0.0133,0.013256703,25.503367,0.339195,3.681100e-06,5.660,0.000,4.490,49,true,3.0243e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5075,2673,0.0133,0.013295347,18.963869,0.252219,3.676836e-06,5.661,0.000,4.370,51,true,2.0973e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5076,2673,0.0133,0.013281727,25.406881,0.337912,3.394500e-06,5.369,0.000,4.310,48,true,1.9715e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5077,2673,0.0133,0.013265612,25.817463,0.343372,4.017911e-06,5.673,0.000,4.307,50,true,2.3308e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5078,2673,0.0133,0.01328946,25.760531,0.342615,3.196427e-06,5.320,0.000,3.805,47,true,3.2725e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5079,2673,0.0133,0.013266023,30.440544,0.404859,3.726171e-06,5.287,0.000,4.294,51,true,1.9493e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5080,2673,0.0133,0.013282644,19.156850,0.254786,3.311904e-06,5.413,0.000,4.111,48,true,3.2907e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5081,2673,0.0133,0.013271905,26.547430,0.353081,3.290813e-06,5.763,0.000,4.297,50,true,1.9012e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5082,2673,0.0133,0.013290729,23.889337,0.317728,3.795914e-06,5.534,0.000,4.292,50,true,2.5101e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5083,2673,0.0133,0.013286181,29.050181,0.386367,3.552041e-06,5.694,0.000,4.240,52,true,2.7109e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5084,2673,0.0133,0.013294604,25.917154,0.344698,3.072115e-06,5.614,0.000,4.468,52,true,1.5948e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5085,2673,0.0133,0.013250168,20.693885,0.275229,3.149756e-06,5.461,0.000,4.432,49,true,1.8534e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5086,2673,0.0133,0.013279886,27.500987,0.365763,3.488334e-06,5.637,0.000,4.476,52,true,2.4271e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5087,2673,0.0133,0.013273211,30.553718,0.406364,3.763609e-06,5.968,0.000,4.283,53,true,1.7159e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5088,2673,0.0133,0.013284903,21.730397,0.289014,3.766029e-06,5.866,0.000,4.019,48,true,3.0089e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5089,2673,0.0133,0.013287585,25.125717,0.334172,3.591962e-06,5.451,0.000,4.091,48,true,3.5214e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5090,2673,0.0133,0.013294099,17.216246,0.228976,3.320635e-06,5.563,0.000,4.754,48,true,2.2692e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5091,2673,0.0133,0.013279553,19.700168,0.262012,3.674335e-06,5.691,0.000,4.428,52,true,2.2448e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5092,2673,0.0133,0.013266941,24.238535,0.322373,4.493588e-06,5.350,0.000,4.202,50,true,2.7527e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5093,2673,0.0133,0.013287376,28.318114,0.376631,3.733376e-06,5.469,0.000,4.193,50,true,2.0705e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5094,2673,0.0133,0.013271142,24.384743,0.324317,2.946096e-06,5.639,0.000,4.047,49,true,1.8074e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5095,2673,0.0133,0.013275633,23.892403,0.317769,4.449383e-06,5.480,0.000,4.074,49,true,4.2822e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5096,2673,0.0133,0.013266069,30.421821,0.404610,3.713662e-06,5.332,0.000,4.254,50,true,3.3368e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5097,2673,0.0133,0.013296928,21.827360,0.290304,3.904162e-06,5.531,0.000,4.759,51,true,2.8970e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5098,2673,0.0133,0.013293637,23.209697,0.308689,4.193942e-06,5.774,0.000,4.356,51,true,1.6905e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5099,2673,0.0133,0.01329472,22.105510,0.294003,3.536290e-06,5.557,0.000,4.611,54,true,1.9253e-07,NaN,-1,false,NaN,false
