iteration,resnorm
1064,6.68652170e-03
1065,6.68472016e-03
1066,6.68102787e-03
1067,6.67776455e-03
1068,6.66859763e-03
1069,6.66458733e-03
1070,6.65835380e-03
1071,6.65258106e-03
1072,6.64949548e-03
1073,6.62207340e-03
1074,6.58417450e-03
1075,6.54663494e-03
1076,6.52358828e-03
1077,6.51548635e-03
1078,6.51142900e-03
1079,6.51050227e-03
1080,6.50980670e-03
1081,6.50975040e-03
1082,6.50803054e-03
1083,6.49609813e-03
1084,6.47984959e-03
1085,6.42575654e-03
1086,6.33521486e-03
1087,6.24759759e-03
1088,6.17644537e-03
1089,6.13882789e-03
1090,6.12272830e-03
1091,6.11900411e-03
1092,6.11666262e-03
1093,6.11518932e-03
1094,6.11441595e-03
1095,6.10346804e-03
1096,6.05663874e-03
1097,5.94098383e-03
1098,5.79390577e-03
1099,5.63467536e-03
1100,5.53000761e-03
1101,5.47907860e-03
1102,5.46900175e-03
1103,5.46649613e-03
1104,5.46372669e-03
1105,5.46110955e-03
1106,5.45569617e-03
1107,5.44079428e-03
1108,5.40679157e-03
1109,5.33011615e-03
1110,5.22558687e-03
1111,5.11610019e-03
1112,5.04109572e-03
1113,4.99081244e-03
1114,4.96805687e-03
1115,4.95602961e-03
1116,4.94742741e-03
1117,4.94330577e-03
1118,4.94311602e-03
1119,4.93891205e-03
1120,4.93398479e-03
1121,4.91894106e-03
1122,4.88220451e-03
1123,4.84074904e-03
1124,4.79865210e-03
1125,4.77419451e-03
1126,4.76527426e-03
1127,4.76227673e-03
1128,4.76099727e-03
1129,4.76078607e-03
1130,4.76040454e-03
1131,4.75933937e-03
1132,4.75825150e-03
1133,4.75375947e-03
1134,4.74682568e-03
1135,4.74503516e-03
1136,4.74455741e-03
1137,4.74360980e-03
1138,4.74070438e-03
1139,4.73385327e-03
1140,4.72841894e-03
1141,4.71772222e-03
1142,4.71356490e-03
1143,4.71040577e-03
1144,4.70829071e-03
1145,4.70567832e-03
1146,4.70516058e-03
1147,4.70395123e-03
1148,4.70376460e-03
1149,4.70370491e-03
1150,4.70258862e-03
1151,4.70179411e-03
1152,4.70120053e-03
1153,4.70116463e-03
1154,4.70101340e-03
1155,4.69722290e-03
1156,4.68610058e-03
1157,4.66174267e-03
1158,4.61961863e-03
1159,4.56445266e-03
1160,4.54435985e-03
1161,4.53146772e-03
1162,4.52997020e-03
1163,4.52895487e-03
1164,4.52480010e-03
1165,4.51407846e-03
1166,4.50147444e-03
1167,4.46655386e-03
1168,4.38797504e-03
1169,4.32134032e-03
1170,4.28569370e-03
1171,4.27246511e-03
1172,4.26592356e-03
1173,4.25914939e-03
1174,4.25491061e-03
1175,4.25458796e-03
1176,4.25405850e-03
1177,4.25124337e-03
1178,4.22095421e-03
1179,4.16718345e-03
1180,4.11138370e-03
1181,4.07499534e-03
1182,4.06024407e-03
1183,4.05329884e-03
1184,4.05090290e-03
1185,4.04773335e-03
1186,4.04527246e-03
1187,4.04502989e-03
1188,4.04043168e-03
1189,4.02809789e-03
1190,4.00091878e-03
1191,3.98017465e-03
1192,3.97193309e-03
1193,3.96876635e-03
1194,3.96828248e-03
1195,3.96828045e-03
1196,3.96740578e-03
1197,3.96539806e-03
1198,3.96286156e-03
1199,3.96047375e-03
1200,3.96040146e-03
1201,3.95688280e-03
1202,3.94475881e-03
1203,3.93762795e-03
1204,3.93039096e-03
1205,3.92516515e-03
1206,3.92071865e-03
1207,3.91907441e-03
1208,3.91847240e-03
1209,3.91815799e-03
1210,3.91563917e-03
1211,3.91349257e-03
1212,3.91040114e-03
1213,3.90513721e-03
1214,3.90401278e-03
1215,3.90199906e-03
1216,3.90101546e-03
1217,3.90056090e-03
1218,3.89708913e-03
1219,3.89537943e-03
1220,3.89534770e-03
1221,3.89304173e-03
1222,3.88502239e-03
1223,3.87014469e-03
1224,3.85265097e-03
1225,3.84154488e-03
1226,3.83727568e-03
1227,3.83481722e-03
1228,3.83291074e-03
1229,3.82745563e-03
1230,3.81941242e-03
1231,3.81505454e-03
1232,3.80217675e-03
1233,3.77156560e-03
1234,3.72824444e-03
1235,3.69223175e-03
1236,3.68202146e-03
1237,3.67819900e-03
1238,3.67813850e-03
1239,3.67635593e-03
1240,3.67509865e-03
1241,3.67092988e-03
1242,3.65954383e-03
1243,3.63468197e-03
1244,3.57472712e-03
1245,3.51123205e-03
1246,3.47275013e-03
