iteration,resnorm
545,1.59691228e-01
546,1.58578635e-01
547,1.57354692e-01
548,1.56042117e-01
549,1.54720352e-01
550,1.53945481e-01
551,1.53502281e-01
552,1.53417654e-01
553,1.53390594e-01
554,1.53275417e-01
555,1.52992966e-01
556,1.52146905e-01
557,1.50824945e-01
558,1.49432788e-01
559,1.47669372e-01
560,1.45461243e-01
561,1.43199629e-01
562,1.41642064e-01
563,1.41018619e-01
564,1.40795658e-01
565,1.40701719e-01
566,1.40666347e-01
567,1.40533040e-01
568,1.40200899e-01
569,1.39686585e-01
570,1.38861553e-01
571,1.37836610e-01
572,1.36450056e-01
573,1.35017761e-01
574,1.33786377e-01
575,1.32685378e-01
576,1.31653119e-01
577,1.31038186e-01
578,1.30862640e-01
579,1.30823058e-01
580,1.30806122e-01
581,1.30737872e-01
582,1.30495407e-01
583,1.30156089e-01
584,1.29619412e-01
585,1.29049967e-01
586,1.28425368e-01
587,1.28030647e-01
588,1.27467157e-01
589,1.26745467e-01
590,1.26015948e-01
591,1.25564891e-01
592,1.25229052e-01
593,1.24966076e-01
594,1.24677404e-01
595,1.24516434e-01
596,1.24378407e-01
597,1.24259683e-01
598,1.23983135e-01
599,1.23618558e-01
600,1.23179193e-01
601,1.22757365e-01
602,1.22322353e-01
603,1.22077157e-01
604,1.21916028e-01
605,1.21697787e-01
606,1.21529660e-01
607,1.21159859e-01
608,1.20691202e-01
609,1.20271710e-01
610,1.19945298e-01
611,1.19500342e-01
612,1.18913282e-01
613,1.18514216e-01
614,1.18310045e-01
615,1.18234651e-01
616,1.18162758e-01
617,1.17910276e-01
618,1.17517994e-01
619,1.17033106e-01
620,1.16421612e-01
621,1.15745636e-01
622,1.14982725e-01
623,1.14033202e-01
624,1.13081816e-01
625,1.12205387e-01
626,1.11709232e-01
627,1.11403902e-01
628,1.11240729e-01
629,1.11116497e-01
630,1.11025210e-01
631,1.10742903e-01
632,1.09843473e-01
633,1.08127182e-01
634,1.05488316e-01
635,1.02146638e-01
636,9.97886812e-02
637,9.85044901e-02
638,9.78866554e-02
639,9.75523965e-02
640,9.73553715e-02
641,9.73196783e-02
642,9.72458368e-02
643,9.69458698e-02
644,9.63071429e-02
645,9.52583223e-02
646,9.42030460e-02
647,9.28271403e-02
648,9.15752389e-02
649,9.07505180e-02
650,9.03436385e-02
651,9.02371846e-02
652,9.01647766e-02
653,8.99745786e-02
654,8.98748949e-02
655,8.98330825e-02
656,8.97862195e-02
657,8.96840816e-02
658,8.94843793e-02
659,8.92216805e-02
660,8.87667803e-02
661,8.80053207e-02
662,8.74762349e-02
663,8.71471411e-02
