phi_deg,pol,geometry,strategy,sigma_m2,iters,seconds
107.5000,V,perturbed,fresh,3.08320181e-03,53,1.663
107.5000,H,nominal,fresh,9.34492431e-03,48,1.416
107.5000,H,perturbed,frozen,6.55845389e-03,54,4.143
107.5000,H,perturbed,fresh,6.55845464e-03,52,1.629
110.0000,V,nominal,fresh,2.54237379e-03,44,1.336
110.0000,V,perturbed,frozen,2.71739143e-03,54,4.187
110.0000,V,perturbed,fresh,2.71739151e-03,53,1.592
110.0000,H,nominal,fresh,6.38737111e-03,48,1.608
110.0000,H,perturbed,frozen,2.43781581e-03,54,4.077
110.0000,H,perturbed,fresh,2.43781892e-03,53,1.678
112.5000,V,nominal,fresh,1.95041026e-03,44,1.347
112.5000,V,perturbed,frozen,1.59978026e-03,54,4.259
112.5000,V,perturbed,fresh,1.59978025e-03,53,1.693
112.5000,H,nominal,fresh,2.45491510e-03,46,1.406
112.5000,H,perturbed,frozen,1.34271031e-03,55,4.502
112.5000,H,perturbed,fresh,1.34270987e-03,53,1.655
115.0000,V,nominal,fresh,1.00954768e-03,44,1.376
115.0000,V,perturbed,frozen,5.06212525e-04,54,4.181
115.0000,V,perturbed,fresh,5.06212611e-04,53,1.639
115.0000,H,nominal,fresh,2.18949443e-03,48,1.454
115.0000,H,perturbed,frozen,4.56627984e-03,55,4.216
115.0000,H,perturbed,fresh,4.56627746e-03,53,1.638
117.5000,V,nominal,fresh,2.80429510e-04,44,1.317
117.5000,V,perturbed,frozen,9.56267183e-05,54,4.210
117.5000,V,perturbed,fresh,9.56272360e-05,53,1.639
117.5000,H,nominal,fresh,5.73013656e-03,48,1.403
117.5000,H,perturbed,frozen,7.61112911e-03,55,4.263
117.5000,H,perturbed,fresh,7.61112794e-03,54,1.673
120.0000,V,nominal,fresh,8.93250263e-05,44,1.336
120.0000,V,perturbed,frozen,3.86591568e-04,54,3.904
120.0000,V,perturbed,fresh,3.86592651e-04,53,1.647
120.0000,H,nominal,fresh,8.71465111e-03,48,1.406
120.0000,H,perturbed,frozen,6.07719570e-03,55,4.605
120.0000,H,perturbed,fresh,6.07719392e-03,53,1.642
122.5000,V,nominal,fresh,3.23841176e-04,44,1.322
122.5000,V,perturbed,frozen,8.85155834e-04,54,4.198
122.5000,V,perturbed,fresh,8.85156808e-04,53,1.651
122.5000,H,nominal,fresh,7.63890262e-03,48,1.423
122.5000,H,perturbed,frozen,1.69554233e-03,55,4.178
122.5000,H,perturbed,fresh,1.69553924e-03,53,1.654
125.0000,V,nominal,fresh,6.23463137e-04,44,1.336
125.0000,V,perturbed,frozen,1.11086048e-03,55,3.989
125.0000,V,perturbed,fresh,1.11086090e-03,53,1.652
125.0000,H,nominal,fresh,3.60261374e-03,48,1.408
125.0000,H,perturbed,frozen,1.72467621e-04,54,3.921
125.0000,H,perturbed,fresh,1.72468028e-04,54,1.666
127.5000,V,nominal,fresh,7.11713868e-04,44,1.317
127.5000,V,perturbed,frozen,9.57382649e-04,55,4.095
127.5000,V,perturbed,fresh,9.57382391e-04,53,1.647
127.5000,H,nominal,fresh,4.62443575e-04,48,1.421
127.5000,H,perturbed,frozen,3.93412375e-03,54,4.182
127.5000,H,perturbed,fresh,3.93412373e-03,54,1.679
130.0000,V,nominal,fresh,5.61976306e-04,44,1.326
130.0000,V,perturbed,frozen,6.34967228e-04,55,4.045
130.0000,V,perturbed,fresh,6.34966743e-04,53,1.637
130.0000,H,nominal,fresh,4.81671752e-04,48,1.411
130.0000,H,perturbed,frozen,9.32542842e-03,54,4.103
130.0000,H,perturbed,fresh,9.32542864e-03,53,1.642
132.5000,V,nominal,fresh,3.23803328e-04,44,1.334
132.5000,V,perturbed,frozen,3.89483040e-04,55,4.033
132.5000,V,perturbed,fresh,3.89482848e-04,53,1.645
132.5000,H,nominal,fresh,2.52860851e-03,48,1.561
132.5000,H,perturbed,frozen,1.10887530e-02,54,3.892
132.5000,H,perturbed,fresh,1.10887516e-02,53,1.650
135.0000,V,nominal,fresh,1.52958519e-04,44,1.323
135.0000,V,perturbed,frozen,3.08980792e-04,55,4.239
135.0000,V,perturbed,fresh,3.08980961e-04,53,1.645
135.0000,H,nominal,fresh,3.94138900e-03,48,1.408
135.0000,H,perturbed,frozen,7.90492581e-03,55,4.219
