case,ell_name,ell,seed,nfeat,c,scale,dead,ramp,x_tip,d,sup_DV,sup_DV_surface,file
U,d4,0.0630936,5019,512,0.0625,0.4100970483239885,0.0,0.0,0.14721755875200002,0.2523744,21.97829255099549,20.2712780412981,fields/U_d4_5019.csv
U,d4,0.0630936,5020,512,0.0625,0.2763176174285302,0.0,0.0,0.14721755875200002,0.2523744,18.87817860360003,16.214240623923132,fields/U_d4_5020.csv
U,d4,0.0630936,5021,512,0.0625,0.39789172478260904,0.0,0.0,0.14721755875200002,0.2523744,28.56469316618362,24.42619473083886,fields/U_d4_5021.csv
U,d4,0.0630936,5022,512,0.0625,0.4688103135156899,0.0,0.0,0.14721755875200002,0.2523744,30.387781690216524,28.56241579171517,fields/U_d4_5022.csv
U,d4,0.0630936,5023,512,0.0625,0.33818713145235424,0.0,0.0,0.14721755875200002,0.2523744,18.37570735276279,17.733607919528925,fields/U_d4_5023.csv
U,d4,0.0630936,5024,512,0.0625,0.29027970487832583,0.0,0.0,0.14721755875200002,0.2523744,20.362049532227694,19.99150403840818,fields/U_d4_5024.csv
U,d4,0.0630936,5025,512,0.0625,0.37479705521709206,0.0,0.0,0.14721755875200002,0.2523744,22.76964130746508,22.178552962208478,fields/U_d4_5025.csv
U,d4,0.0630936,5026,512,0.0625,0.2717585310504334,0.0,0.0,0.14721755875200002,0.2523744,18.20645696196662,18.20276460244123,fields/U_d4_5026.csv
U,d4,0.0630936,5027,512,0.0625,0.3245871006429854,0.0,0.0,0.14721755875200002,0.2523744,21.637508507091948,20.764510961326025,fields/U_d4_5027.csv
U,d4,0.0630936,5028,512,0.0625,0.34467951831625804,0.0,0.0,0.14721755875200002,0.2523744,22.716412208794374,22.560426626419595,fields/U_d4_5028.csv
U,d4,0.0630936,5029,512,0.0625,0.3605422532260573,0.0,0.0,0.14721755875200002,0.2523744,21.196940822941738,20.267006027833236,fields/U_d4_5029.csv
